postcode,postcode_area,avg_download,max_download,county
IP117NU,IP,40.9,79.4,SUFFOLK
IP117NX,IP,46.3,79.9,SUFFOLK
IP117NY,IP,36.6,73,SUFFOLK
IP117PA,IP,43.5,80,SUFFOLK
IP117PD,IP,26.8,80,SUFFOLK
IP117PE,IP,43.5,80,SUFFOLK
IP117PG,IP,21.2,56,SUFFOLK
IP117PH,IP,29.1,75.2,SUFFOLK
IP117PJ,IP,50.6,67.9,SUFFOLK
IP117PL,IP,33.4,80,SUFFOLK
IP117PQ,IP,34.1,59.2,SUFFOLK
IP117PR,IP,31.8,79.9,SUFFOLK
IP117PT,IP,36.2,76.8,SUFFOLK
IP117PU,IP,38.5,69.3,SUFFOLK
IP117PX,IP,50,74.5,SUFFOLK
IP117PY,IP,36.4,80,SUFFOLK
IP117PZ,IP,40.1,79.9,SUFFOLK
IP117QA,IP,43.3,78.5,SUFFOLK
IP117QB,IP,29,59.3,SUFFOLK
IP117QD,IP,30.9,62.3,SUFFOLK
IP117QE,IP,23.2,40,SUFFOLK
IP117QH,IP,27.9,55,SUFFOLK
IP117QJ,IP,25.6,58.9,SUFFOLK
IP117QL,IP,30.5,63.8,SUFFOLK
IP117QN,IP,24.3,43.2,SUFFOLK
IP117QP,IP,36.7,80,SUFFOLK
IP117QS,IP,31,68.8,SUFFOLK
IP117QT,IP,36.9,70.4,SUFFOLK
IP117QU,IP,42.9,80,SUFFOLK
IP117QW,IP,34.7,79.8,SUFFOLK
IP117QX,IP,22.9,50,SUFFOLK
IP117QY,IP,30.6,76,SUFFOLK
IP117QZ,IP,41,80,SUFFOLK
IP117RA,IP,30.5,80,SUFFOLK
IP117RB,IP,57,80,SUFFOLK
IP117RE,IP,43.2,80,SUFFOLK
IP117RH,IP,42.8,80,SUFFOLK
IP117RL,IP,39.2,61.2,SUFFOLK
IP117RN,IP,58.4,80,SUFFOLK
IP117RP,IP,32.8,80,SUFFOLK
IP117RQ,IP,40.4,79.9,SUFFOLK
IP117RR,IP,32.5,66.1,SUFFOLK
IP117RS,IP,23.3,55.6,SUFFOLK
IP117RT,IP,26.9,64,SUFFOLK
IP117RU,IP,41,77.2,SUFFOLK
IP117RW,IP,32.9,76.1,SUFFOLK
IP117RX,IP,23.8,56.8,SUFFOLK
IP117RY,IP,21.5,43.7,SUFFOLK
IP117RZ,IP,37.3,79.7,SUFFOLK
IP117SA,IP,44.7,79.9,SUFFOLK
IP117SB,IP,29.7,58,SUFFOLK
IP117SD,IP,42.5,79.9,SUFFOLK
IP117SF,IP,34.6,52.1,SUFFOLK
IP117SG,IP,38.7,78.2,SUFFOLK
IP117SH,IP,42.4,80,SUFFOLK
IP117SJ,IP,35.7,64.9,SUFFOLK
IP117SL,IP,43.4,56.5,SUFFOLK
IP117SN,IP,25.1,54.8,SUFFOLK
